,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
3158,Chadstone,16 Moroney Dr,4,h,1507000,S,Jellis,3/12/2016,13.6,3148,4,2,2,600,,,Monash,-37.8891,145.1002,Southern Metropolitan,3582
3159,Chadstone,8B Moorong St,4,h,890000,VB,Purplebricks,4/02/2016,13.6,3148,4,3,2,288,158,2014,Monash,-37.8801,145.1051,Southern Metropolitan,3582
3160,Chadstone,35A Hillcrest Av,3,h,1000000,VB,Barry,4/03/2017,13.6,3148,,,,,,,,,,Southern Metropolitan,3582
3161,Chadstone,1/186 Power Av,2,h,644000,S,McGrath,4/03/2017,13.6,3148,,,,,,,,,,Southern Metropolitan,3582
3162,Chadstone,2/44 Railway Pde S,3,u,700000,S,Bekdon,4/06/2016,13.6,3148,2,2,1,224,94,2006,Monash,-37.8738,145.1054,Southern Metropolitan,3582
3163,Chadstone,30 Melinga Cr,3,h,1101000,S,Buxton,6/08/2016,13.6,3148,,,,,,,,,,Southern Metropolitan,3582
3164,Chadstone,23 Thurloo St,3,h,1000000,S,Buxton,6/08/2016,13.6,3148,3,1,2,606,,,Monash,-37.8784,145.0958,Southern Metropolitan,3582
3165,Chadstone,2/4 Lenna Ct,3,t,865000,S,Buxton,7/11/2016,13.6,3148,3,2,2,277,143,2010,Monash,-37.8796,145.1044,Southern Metropolitan,3582
3166,Chadstone,1/1 Margot St,3,u,805500,S,Ray,8/10/2016,13.6,3148,,,,,,,,,,Southern Metropolitan,3582
3168,Chadstone,2/9 Batesford Rd,4,t,1015000,S,Buxton,10/12/2016,13.6,3148,,,,,,,,,,Southern Metropolitan,3582
3169,Chadstone,2 Melinga Cr,3,h,930000,S,Ray,10/12/2016,13.6,3148,,,,,,,,,,Southern Metropolitan,3582
3170,Chadstone,2/14 Cole Cr,3,t,999000,S,Ray,11/02/2017,13.6,3148,,,,,,,,,,Southern Metropolitan,3582
3171,Chadstone,2/12 Moorong St,4,t,1042500,S,Buxton,11/02/2017,13.6,3148,4,3,2,209,160,2016,Monash,-37.8805,145.105,Southern Metropolitan,3582
3172,Chadstone,5 Bullarto St,2,h,1002000,S,Ray,13/08/2016,13.6,3148,2,1,1,585,97,1950,Monash,-37.8792,145.0948,Southern Metropolitan,3582
3174,Chadstone,15 Aloomba St,3,h,992000,S,Gary,15/10/2016,13.6,3148,3,1,2,586,,,Monash,-37.8805,145.0978,Southern Metropolitan,3582
3176,Chadstone,4/5 Rae St,3,h,650000,PI,hockingstuart,15/10/2016,13.6,3148,3,2,2,160,101,2000,Monash,-37.8859,145.0934,Southern Metropolitan,3582
3177,Chadstone,7 Churchill Av,3,h,2600000,SA,Stockdale,16/07/2016,13.6,3148,,,,,,,,,,Southern Metropolitan,3582
3180,Chadstone,1/19 Warrina St,4,t,965000,SP,Buxton,17/09/2016,13.6,3148,4,3,2,273,182,2012,Monash,-37.8742,145.105,Southern Metropolitan,3582
3181,Chadstone,3 Yambie La,3,h,920000,PI,LITTLE,17/09/2016,13.6,3148,4,2,2,515,,,Monash,-37.8837,145.106,Southern Metropolitan,3582
3183,Chadstone,7 Inga Ct,3,h,1301000,S,Buxton,18/03/2017,13.6,3148,3,1,2,620,88,1970,Monash,-37.8812,145.105,Southern Metropolitan,3582
3184,Chadstone,2/35 Binalong Av,3,t,820000,S,McGrath,19/11/2016,13.6,3148,,,,,,,,,,Southern Metropolitan,3582
3185,Chadstone,22 Jacana St,3,h,1171000,S,Ray,19/11/2016,13.6,3148,,,,,,,,,,Southern Metropolitan,3582
3186,Chadstone,1A Mudgee Ct,3,t,860000,S,Ray,19/11/2016,13.6,3148,,,,,,,,,,Southern Metropolitan,3582
3188,Chadstone,1/22 Stapley Cr,4,t,1085000,S,Buxton,19/11/2016,13.6,3148,,,,,,,,,,Southern Metropolitan,3582
3189,Chadstone,2 Fitzroy Gr,4,h,1415500,S,hockingstuart,22/05/2016,13.6,3148,3,2,1,1033,164,1950,Monash,-37.8738,145.1095,Southern Metropolitan,3582
3190,Chadstone,2/8 Moona Ct,4,t,898000,SP,Nelson,22/05/2016,13.6,3148,,,,,,,,,,Southern Metropolitan,3582
3191,Chadstone,1/19 Binalong Av,2,u,627000,S,Buxton,23/04/2016,13.6,3148,,,,,,,,,,Southern Metropolitan,3582
3192,Chadstone,40 Mawarra Cr,5,h,1206000,S,McGrath,23/04/2016,13.6,3148,,,,,,,,,,Southern Metropolitan,3582
3193,Chadstone,1/32 Kelly St,2,h,705000,S,Buxton,24/09/2016,13.6,3148,2,1,1,842,,1972,Monash,-37.8859,145.0979,Southern Metropolitan,3582
3195,Chadstone,4 Jacana Ct,4,h,1260000,S,McGrath,25/02/2017,13.6,3148,4,2,2,500,277,2001,Monash,-37.8845,145.1027,Southern Metropolitan,3582
3200,Chadstone,1/28 Cole Cr,3,t,985000,S,Buxton,27/06/2016,13.6,3148,,,,,,,,,,Southern Metropolitan,3582
3201,Chadstone,3/3 Mudgee Ct,3,t,753000,S,Buxton,27/06/2016,13.6,3148,,,,,,,,,,Southern Metropolitan,3582
3202,Chadstone,15 Grandview Rd,3,h,1460000,S,Buxton,27/11/2016,13.6,3148,3,1,1,705,,,Monash,-37.8746,145.1071,Southern Metropolitan,3582
3203,Chadstone,23 Jacana St,3,h,1000000,SP,Thomson,27/11/2016,13.6,3148,3,1,2,630,105,1960,Monash,-37.8838,145.102,Southern Metropolitan,3582
3204,Chadstone,33 Jindabyne Av,3,h,1035000,S,Barry,27/11/2016,13.6,3148,,,,,,,,,,Southern Metropolitan,3582
3207,Chadstone,2/2 Robert St,3,t,845000,S,Buxton,28/05/2016,13.6,3148,3,2,1,177,111,2012,Monash,-37.8824,145.1042,Southern Metropolitan,3582
3209,Chadstone,2/19 Thurloo St,4,t,881000,S,Ray,28/08/2016,13.6,3148,3,2,1,188,137,2014,Monash,-37.8781,145.0955,Southern Metropolitan,3582
3211,Clifton Hill,60a Hodgkinson St,3,h,1270000,S,Nelson,3/09/2016,3.4,3068,3,2,0,187,,,Yarra,-37.7902,144.9894,Northern Metropolitan,2954
3212,Clifton Hill,7/29 Dwyer St,1,u,340000,PI,Woodards,3/12/2016,3.4,3068,,,,,,,,,,Northern Metropolitan,2954
3214,Clifton Hill,66 Noone St,2,h,780000,S,Harrington,4/06/2016,3.4,3068,2,1,1,155,85,1880,Yarra,-37.7934,144.9922,Northern Metropolitan,2954
3216,Clifton Hill,13 Caroline St,3,h,1060000,S,Nelson,7/11/2016,3.4,3068,3,1,0,193,98,1900,Yarra,-37.7899,144.9984,Northern Metropolitan,2954
3217,Clifton Hill,3/68 Noone St,3,t,930000,S,Collins,7/11/2016,3.4,3068,3,2,1,124,116,2000,Yarra,-37.7934,144.9923,Northern Metropolitan,2954
3219,Clifton Hill,86 Hodgkinson St,2,h,1420000,S,Collins,8/10/2016,3.4,3068,2,1,0,180,,,Yarra,-37.7898,144.9903,Northern Metropolitan,2954
3220,Clifton Hill,119 Roseneath St,2,h,1075000,S,Nelson,8/10/2016,3.4,3068,2,1,1,174,85,1890,Yarra,-37.7928,144.9987,Northern Metropolitan,2954
3221,Clifton Hill,85 Roseneath St,2,h,1105000,S,Harrington,8/10/2016,3.4,3068,2,1,1,185,84,1910,Yarra,-37.7927,144.9981,Northern Metropolitan,2954
3222,Clifton Hill,413a Wellington St,2,h,1209000,S,Jellis,8/10/2016,3.4,3068,2,1,1,140,97,1910,Yarra,-37.7919,144.9884,Northern Metropolitan,2954
3223,Clifton Hill,32 Caroline St,4,h,3010000,S,Collins,10/09/2016,3.4,3068,4,3,2,382,250,1903,Yarra,-37.7897,144.9992,Northern Metropolitan,2954
3224,Clifton Hill,17 Myrtle St,2,h,1435000,S,Nelson,10/09/2016,3.4,3068,2,1,2,239,96,1900,Yarra,-37.7918,144.997,Northern Metropolitan,2954
3225,Clifton Hill,12 Kiewa St,2,h,1417000,SP,Nelson,10/12/2016,3.4,3068,2,1,0,197,,,Yarra,-37.7924,145.0002,Northern Metropolitan,2954
3226,Clifton Hill,40 Myrtle St,2,h,1290000,S,Jellis,10/12/2016,3.4,3068,2,1,0,164,99,1890,Yarra,-37.7912,144.9967,Northern Metropolitan,2954
3229,Clifton Hill,195 Gold St,3,h,1226000,S,Nelson,12/11/2016,3.4,3068,3,2,0,0,,,Yarra,-37.7917,144.9902,Northern Metropolitan,2954
3230,Clifton Hill,3/30 Edmund St,2,u,495000,S,iTRAK,13/08/2016,3.4,3068,2,1,1,515,50,1970,Yarra,-37.7875,145.0049,Northern Metropolitan,2954
3231,Clifton Hill,4/56 John St,1,u,325000,VB,Collins,13/08/2016,3.4,3068,1,1,1,0,,,Yarra,-37.7873,144.9958,Northern Metropolitan,2954
3232,Clifton Hill,11 Page St,3,h,1370000,S,Collins,13/08/2016,3.4,3068,3,2,1,176,135,1890,Yarra,-37.7921,144.9898,Northern Metropolitan,2954
3234,Clifton Hill,11 Clifton Av,4,h,2560000,S,Collins,15/10/2016,3.4,3068,,,,,,,,,,Northern Metropolitan,2954
3235,Clifton Hill,36 Ogrady St,2,h,1620000,S,Nelson,15/10/2016,3.4,3068,2,1,2,251,,,Yarra,-37.787,144.9988,Northern Metropolitan,2954
3237,Clifton Hill,69 Field St,3,h,1180000,SP,Harrington,16/07/2016,3.4,3068,3,3,1,142,,1995,Yarra,-37.7928,145.0021,Northern Metropolitan,2954
3238,Clifton Hill,40 Spensley St,2,h,1405000,S,Nelson,17/09/2016,3.4,3068,2,1,0,219,,,Yarra,-37.7882,144.9984,Northern Metropolitan,2954
3239,Clifton Hill,2A Council St,2,h,880000,VB,Nelson,18/03/2017,3.4,3068,2,1,0,100,,,Yarra,-37.7923,144.9858,Northern Metropolitan,2954
3240,Clifton Hill,31 Fenwick St,2,h,1450000,VB,Nelson,18/03/2017,3.4,3068,2,1,0,156,107,1890,Yarra,-37.7892,144.9999,Northern Metropolitan,2954
3241,Clifton Hill,104 Noone St,2,h,856000,S,Nelson,18/03/2017,3.4,3068,2,1,0,170,,,Yarra,-37.7936,144.995,Northern Metropolitan,2954
3244,Clifton Hill,3/82 Roseneath St,3,h,900000,S,Nelson,18/03/2017,3.4,3068,,,,,,,,,,Northern Metropolitan,2954
3245,Clifton Hill,7/37 Groom St,2,u,885500,S,Collins,18/06/2016,3.4,3068,2,2,2,0,136,2005,Yarra,-37.7937,144.9983,Northern Metropolitan,2954
3246,Clifton Hill,49 Fenwick St,3,h,1680000,S,Nelson,19/11/2016,3.4,3068,3,2,1,201,,,Yarra,-37.7884,145,Northern Metropolitan,2954
3248,Clifton Hill,1 John St,2,h,730000,S,Nelson,22/05/2016,3.4,3068,2,1,1,103,,,Yarra,-37.7898,144.9957,Northern Metropolitan,2954
3249,Clifton Hill,18 Barries Pl,3,t,825000,SP,Jellis,24/09/2016,3.4,3068,3,3,1,67,119,2010,Yarra,-37.7946,144.9989,Northern Metropolitan,2954
3250,Clifton Hill,1/493 Hoddle St,2,u,533000,SP,Jellis,24/09/2016,3.4,3068,2,1,1,0,,1970,Yarra,-37.7931,144.9938,Northern Metropolitan,2954
3252,Clifton Hill,20 Gordon St,2,h,1430000,S,Collins,25/02/2017,3.4,3068,2,1,0,151,,1910,Yarra,-37.7912,144.9963,Northern Metropolitan,2954
3254,Clifton Hill,1/1 Marshall Pl,4,h,1506000,S,Nelson,25/02/2017,3.4,3068,4,2,0,162,169,1995,Yarra,-37.7885,144.9994,Northern Metropolitan,2954
3255,Clifton Hill,48 Council St,3,h,1150000,VB,Nelson,26/07/2016,3.4,3068,3,1,1,169,,,Yarra,-37.7925,144.9877,Northern Metropolitan,2954
3257,Clifton Hill,3/268 Alexandra Pde E,1,u,363000,S,hockingstuart,27/06/2016,3.4,3068,1,1,1,0,,,Yarra,,,Northern Metropolitan,2954
3258,Clifton Hill,3 Hodgkinson St,3,h,1360000,S,Nelson,27/06/2016,3.4,3068,3,1,0,118,118,1880,Yarra,-37.7921,144.9858,Northern Metropolitan,2954
3259,Clifton Hill,19/184 Noone St,3,t,841000,PI,Jellis,27/11/2016,3.4,3068,,,,,,,,,,Northern Metropolitan,2954
3260,Clifton Hill,7/82 Roseneath St,3,t,897500,SP,Jellis,27/11/2016,3.4,3068,,,,,,,,,,Northern Metropolitan,2954
3261,Clifton Hill,21/184 Noone St,3,t,810000,PI,Raine,28/05/2016,3.4,3068,,,,,,,,,,Northern Metropolitan,2954
3263,Clifton Hill,4a Anderson St,2,h,1270000,S,Nelson,28/08/2016,3.4,3068,,,,,,,,,,Northern Metropolitan,2954
3264,Clifton Hill,53 John St,2,t,640000,VB,Miles,28/08/2016,3.4,3068,2,1,1,0,,,Yarra,-37.7873,144.9961,Northern Metropolitan,2954
3267,Coburg,29 Molesworth St,2,h,850000,SP,Brad,3/09/2016,7.8,3058,2,1,1,371,93,1930,Moreland,-37.735,144.9589,Northern Metropolitan,11204
3270,Coburg,10 Shackell St,3,h,784000,S,Nelson,3/09/2016,7.8,3058,2,1,1,286,110,1890,Moreland,-37.7427,144.952,Northern Metropolitan,11204
3272,Coburg,3/25 Belgrave St,2,t,655000,S,Nelson,3/12/2016,7.8,3058,,,,,,,,,,Northern Metropolitan,11204
3273,Coburg,37 Elizabeth St,3,h,680000,S,Nelson,3/12/2016,7.8,3058,3,1,0,702,108,1950,Moreland,-37.7391,144.9812,Northern Metropolitan,11204
3274,Coburg,38 Harding St,4,h,1221000,S,Nelson,3/12/2016,7.8,3058,4,1,2,596,,,Moreland,-37.7456,144.9696,Northern Metropolitan,11204
3275,Coburg,1/58 Moore St,2,t,807000,S,Nelson,3/12/2016,7.8,3058,2,2,1,0,176,2010,Moreland,-37.7546,144.9713,Northern Metropolitan,11204
3276,Coburg,181 Munro St,3,h,790000,S,Del,3/12/2016,7.8,3058,3,1,2,371,,,Moreland,-37.7435,144.9507,Northern Metropolitan,11204
3277,Coburg,43 Ohea St,4,h,955000,S,Nelson,3/12/2016,7.8,3058,4,2,1,295,,,Moreland,-37.7374,144.9617,Northern Metropolitan,11204
3278,Coburg,301/6 Sydney Rd,2,t,480000,VB,Nelson,3/12/2016,7.8,3058,,,,,,,,,,Northern Metropolitan,11204
3279,Coburg,8 Watchtower Rd,3,h,675000,PI,Walshe,4/02/2016,7.8,3058,3,1,2,142,123,2005,Moreland,-37.7382,144.973,Northern Metropolitan,11204
3281,Coburg,21 Craigrossie Av,3,h,1300000,S,McDonald,4/03/2017,7.8,3058,,,,,,,,,,Northern Metropolitan,11204
3282,Coburg,12 Hardwick St,3,h,1010000,S,Jellis,4/03/2017,7.8,3058,3,2,1,278,278,,Moreland,-37.7494,144.9686,Northern Metropolitan,11204
3283,Coburg,3 Mavis St,3,h,1202000,S,Nelson,4/03/2017,7.8,3058,3,2,2,423,140,1940,Moreland,-37.7493,144.9559,Northern Metropolitan,11204
3284,Coburg,243 Moreland Rd,3,h,1370000,S,Ray,4/03/2017,7.8,3058,3,1,1,233,180,1890,Moreland,-37.7549,144.9611,Northern Metropolitan,11204
3285,Coburg,61 Murray Rd,2,h,550000,S,hockingstuart,4/03/2017,7.8,3058,2,1,1,0,,,Moreland,-37.7358,144.9801,Northern Metropolitan,11204
3286,Coburg,45 Portland St,3,h,1000000,VB,Jellis,4/03/2017,7.8,3058,3,2,3,370,110,1920,Moreland,-37.744,144.9501,Northern Metropolitan,11204
3287,Coburg,6 Stawell St,3,h,935500,S,Brad,4/03/2017,7.8,3058,3,1,2,386,,,Moreland,-37.7364,144.96,Northern Metropolitan,11204
3288,Coburg,35 The Grove,8,u,2250000,PI,Peter,4/03/2017,7.8,3058,4,2,4,983,,,Moreland,-37.7517,144.9699,Northern Metropolitan,11204
3290,Coburg,171 Moreland Rd,4,h,145000,PI,Jellis,4/06/2016,7.8,3058,3,1,1,536,164,1910,Moreland,-37.7555,144.9658,Northern Metropolitan,11204
3291,Coburg,191 Ohea St,4,h,905000,S,LITTLE,4/06/2016,7.8,3058,3,2,1,439,,,Moreland,-37.7363,144.9507,Northern Metropolitan,11204
3293,Coburg,33 Wellington St,3,h,860000,S,Peter,4/06/2016,7.8,3058,3,1,1,283,109,1915,Moreland,-37.7416,144.9582,Northern Metropolitan,11204
3294,Coburg,16 Linda St,2,h,953000,S,Jellis,6/08/2016,7.8,3058,2,1,1,170,101,1890,Moreland,-37.7508,144.9608,Northern Metropolitan,11204
3295,Coburg,6 Shackell St,2,h,735000,SP,Nelson,6/08/2016,7.8,3058,2,1,1,280,93,1900,Moreland,-37.7429,144.952,Northern Metropolitan,11204
3297,Coburg,15/1 Manna Gum Ct,3,t,550000,PI,Brace,7/05/2016,7.8,3058,3,2,2,0,168,,Moreland,-37.7372,144.9764,Northern Metropolitan,11204
3298,Coburg,20A Queen St,2,t,790000,S,Raine,7/05/2016,7.8,3058,,,,,,,,,,Northern Metropolitan,11204
3299,Coburg,56 Rose St,3,h,1100000,VB,Nelson,7/05/2016,7.8,3058,3,1,1,576,,,Moreland,-37.7432,144.9474,Northern Metropolitan,11204
3300,Coburg,27 Higinbotham St,3,h,947000,S,Brad,7/11/2016,7.8,3058,3,1,1,372,125,1920,Moreland,-37.735,144.9581,Northern Metropolitan,11204
3302,Coburg,2/6 McKay St,2,u,500000,SP,Jellis,7/11/2016,7.8,3058,2,1,1,0,74,1970,Moreland,-37.7405,144.9644,Northern Metropolitan,11204
3303,Coburg,2/58 Moore St,3,t,865000,S,Nelson,7/11/2016,7.8,3058,3,2,2,263,,2008,Moreland,-37.7546,144.9713,Northern Metropolitan,11204
3305,Coburg,7/13 Clarendon St,2,u,466000,S,Nelson,8/10/2016,7.8,3058,2,1,1,0,62,1980,Moreland,-37.7527,144.9522,Northern Metropolitan,11204
3306,Coburg,3/58 Moore St,3,t,740000,VB,Nelson,8/10/2016,7.8,3058,3,2,1,255,164,2014,Moreland,-37.7546,144.9713,Northern Metropolitan,11204
3307,Coburg,105 Moreland Rd,3,h,812000,S,Nicholson,8/10/2016,7.8,3058,3,1,1,370,130,1930,Moreland,-37.7561,144.9718,Northern Metropolitan,11204
3308,Coburg,107 Moreland Rd,3,h,766000,S,Nicholson,8/10/2016,7.8,3058,3,1,0,378,124,1930,Moreland,-37.7561,144.9716,Northern Metropolitan,11204
3309,Coburg,109 Moreland Rd,3,h,825000,S,Nicholson,8/10/2016,7.8,3058,2,1,1,374,118,1910,Moreland,-37.7561,144.9715,Northern Metropolitan,11204
3310,Coburg,2 Quarry Cct,4,h,1131000,S,Nelson,8/10/2016,7.8,3058,4,2,2,494,300,2001,Moreland,-37.7359,144.9711,Northern Metropolitan,11204
3311,Coburg,114 Reynard St,3,h,1064000,SP,Nelson,8/10/2016,7.8,3058,3,2,1,417,178,1940,Moreland,-37.7478,144.9583,Northern Metropolitan,11204
3312,Coburg,3/262 Reynard St,2,t,610000,PI,Ray,8/10/2016,7.8,3058,2,2,1,114,,,Moreland,-37.7466,144.9482,Northern Metropolitan,11204
3313,Coburg,60 Glengyle St,3,h,1210000,S,Nelson,10/09/2016,7.8,3058,3,1,1,379,125,1925,Moreland,-37.7544,144.9764,Northern Metropolitan,11204
3316,Coburg,8/6 McKay St,2,u,434000,S,Nelson,10/09/2016,7.8,3058,2,1,1,0,80,1965,Moreland,-37.7405,144.9644,Northern Metropolitan,11204
3318,Coburg,4/44 Victoria St,2,u,653000,SP,Peter,10/09/2016,7.8,3058,2,1,1,129,107,2012,Moreland,-37.7422,144.9606,Northern Metropolitan,11204
3321,Coburg,2/118 Bruce St,3,t,640000,S,Nelson,10/12/2016,7.8,3058,3,1,2,119,109,1995,Moreland,-37.7403,144.9491,Northern Metropolitan,11204
3323,Coburg,31 Elizabeth St,2,h,820000,S,Peter,10/12/2016,7.8,3058,2,1,1,597,,1960,Moreland,-37.7402,144.9807,Northern Metropolitan,11204
3324,Coburg,7 Gladstone St,4,h,1250000,S,Jellis,10/12/2016,7.8,3058,4,1,2,613,,,Moreland,-37.7433,144.9762,Northern Metropolitan,11204
3325,Coburg,21 Governors Rd,5,h,1335000,S,Nelson,10/12/2016,7.8,3058,5,3,2,390,,,Moreland,-37.7376,144.9726,Northern Metropolitan,11204
3326,Coburg,56 The Grove,6,h,1900000,VB,hockingstuart,10/12/2016,7.8,3058,6,2,2,1060,,,Moreland,-37.7523,144.9725,Northern Metropolitan,11204
3327,Coburg,10 Stockade Av,3,t,810000,S,JMRE,11/02/2017,7.8,3058,,,,,,,,,,Northern Metropolitan,11204
3329,Coburg,5 Donne St,3,h,1090000,S,ASL,12/11/2016,7.8,3058,3,1,1,464,,,Moreland,-37.753,144.9485,Northern Metropolitan,11204
3331,Coburg,41 Service St,3,h,1130000,SP,Re,12/11/2016,7.8,3058,3,1,2,735,127,1920,Moreland,-37.7379,144.9623,Northern Metropolitan,11204
3332,Coburg,1 Sutherland St,4,h,1145000,S,Nelson,12/11/2016,7.8,3058,4,2,2,480,,,Moreland,-37.7402,144.9607,Northern Metropolitan,11204
3333,Coburg,38 Budds St,2,t,657000,SP,Nelson,13/08/2016,7.8,3058,2,1,2,138,,,Moreland,-37.7427,144.9711,Northern Metropolitan,11204
3336,Coburg,1e The Avenue,3,h,763000,S,Woodards,14/05/2016,7.8,3058,3,2,1,107,110,1994,Moreland,-37.7517,144.963,Northern Metropolitan,11204
3338,Coburg,53 Hawthorn St,2,h,903000,S,Nelson,15/10/2016,7.8,3058,2,1,1,253,94,1910,Moreland,-37.7484,144.9521,Northern Metropolitan,11204
3339,Coburg,4 Miller St,3,h,1000000,S,Nelson,15/10/2016,7.8,3058,3,1,1,431,117,1970,Moreland,-37.75,144.9695,Northern Metropolitan,11204
3341,Coburg,13 Shaftsbury St,4,h,1742000,SP,Nelson,15/10/2016,7.8,3058,3,2,4,482,256,2006,Moreland,-37.7529,144.9534,Northern Metropolitan,11204
3342,Coburg,12 Gordon St,4,h,865000,S,Brad,16/04/2016,7.8,3058,4,1,1,452,125,1925,Moreland,-37.7525,144.948,Northern Metropolitan,11204
3343,Coburg,11/5 Industry La,2,u,485000,VB,Nelson,16/04/2016,7.8,3058,2,2,1,0,96,1880,Moreland,-37.7367,144.9701,Northern Metropolitan,11204
3344,Coburg,12 Lascelles St,3,h,765000,S,Nelson,16/04/2016,7.8,3058,,,,,,,,,,Northern Metropolitan,11204
3345,Coburg,23 Berry St,3,h,1278000,S,Peter,16/07/2016,7.8,3058,3,2,3,405,156,1930,Moreland,-37.7464,144.959,Northern Metropolitan,11204
3347,Coburg,4/93 Harding St,3,t,590000,VB,Ray,17/09/2016,7.8,3058,3,2,2,0,109,2013,Moreland,-37.7458,144.9751,Northern Metropolitan,11204
3349,Coburg,45 Kerferd St,4,h,1000000,SP,Peter,17/09/2016,7.8,3058,4,2,1,381,,1938,Moreland,-37.7337,144.9548,Northern Metropolitan,11204
3350,Coburg,15/1 Manna Gum Ct,3,t,590000,PI,Brace,17/09/2016,7.8,3058,3,2,2,0,168,,Moreland,-37.7372,144.9764,Northern Metropolitan,11204
3351,Coburg,3 Phillips St,3,h,1030000,S,Considine,17/09/2016,7.8,3058,3,1,1,404,,,Moreland,-37.7504,144.9537,Northern Metropolitan,11204
3352,Coburg,19 Audley St,4,h,1136000,S,Ray,18/03/2017,7.8,3058,4,3,1,420,146,1920,Moreland,-37.7501,144.962,Northern Metropolitan,11204
3353,Coburg,13 Carron St,2,t,635000,S,Ray,18/03/2017,7.8,3058,2,1,1,97,95,2014,Moreland,-37.7516,144.9623,Northern Metropolitan,11204
3354,Coburg,57 Connolly Av,3,u,782000,S,Harcourts,18/03/2017,7.8,3058,,,,,,,,,,Northern Metropolitan,11204
3355,Coburg,196 Ohea St,3,h,1061000,S,Brad,18/03/2017,7.8,3058,3,1,1,527,,,Moreland,-37.7359,144.9502,Northern Metropolitan,11204
3357,Coburg,9 Vincent St,4,h,1155000,S,Nelson,18/03/2017,7.8,3058,4,1,2,370,,,Moreland,-37.7431,144.956,Northern Metropolitan,11204
3358,Coburg,6 Farm Rd,4,h,650000,PI,RT,18/06/2016,7.8,3058,3,2,2,312,,,Moreland,-37.7362,144.9714,Northern Metropolitan,11204
3360,Coburg,89 Gordon St,3,h,1286000,S,Nelson,18/06/2016,7.8,3058,3,2,2,435,,,Moreland,-37.7477,144.9483,Northern Metropolitan,11204
3361,Coburg,31 Hardwick St,3,h,885000,S,Nelson,18/06/2016,7.8,3058,3,1,2,255,,1920,Moreland,-37.7493,144.9701,Northern Metropolitan,11204
3362,Coburg,13 Hudson St,4,h,1160000,PI,Jellis,18/06/2016,7.8,3058,4,2,5,371,,1888,Moreland,-37.7436,144.962,Northern Metropolitan,11204
3364,Coburg,203 Munro St,4,h,1400000,S,RE,18/06/2016,7.8,3058,4,1,1,856,189,1970,Moreland,-37.7432,144.9481,Northern Metropolitan,11204
3365,Coburg,403/19 Pentridge Bvd,2,u,470000,SP,Raine,18/06/2016,7.8,3058,2,2,1,0,,,Moreland,-37.7379,144.9683,Northern Metropolitan,11204
3369,Coburg,18 Craigrossie Av,5,h,1725000,S,Nelson,19/11/2016,7.8,3058,,,,,,,,,,Northern Metropolitan,11204
3370,Coburg,8 Gilbert St,3,h,1260000,S,Jellis,19/11/2016,7.8,3058,3,2,0,407,230,1930,Moreland,-37.7471,144.9579,Northern Metropolitan,11204
3374,Coburg,1/33 Sheffield St,2,h,920000,SP,Jellis,19/11/2016,7.8,3058,2,1,0,157,,,Moreland,-37.7464,144.9676,Northern Metropolitan,11204
3377,Coburg,52 Stawell St,3,h,841000,S,Re,19/11/2016,7.8,3058,3,1,3,385,98,1920,Moreland,-37.734,144.9603,Northern Metropolitan,11204
3378,Coburg,4/2 Vincent St,2,u,537500,S,Nelson,19/11/2016,7.8,3058,2,1,1,0,73,1975,Moreland,-37.7435,144.9563,Northern Metropolitan,11204
3382,Coburg,59 Moore St,2,h,1130000,S,Brad,22/08/2016,7.8,3058,2,1,2,520,,,Moreland,-37.7543,144.9717,Northern Metropolitan,11204
3383,Coburg,9 Parklane Mw,3,t,664000,SP,Nelson,22/08/2016,7.8,3058,,,,,,,,,,Northern Metropolitan,11204
3384,Coburg,5/39 Service St,2,t,598000,S,Nelson,22/08/2016,7.8,3058,2,1,1,108,100,2007,Moreland,-37.7379,144.9617,Northern Metropolitan,11204
3385,Coburg,2 Walsh St,3,h,1120000,S,Raine,22/08/2016,7.8,3058,3,2,1,293,180,2006,Moreland,-37.7481,144.9663,Northern Metropolitan,11204
3386,Coburg,24 Webb St,3,h,870000,S,Nelson,22/08/2016,7.8,3058,3,1,1,371,100,1980,Moreland,-37.735,144.9558,Northern Metropolitan,11204
3388,Coburg,27 Bruce St,3,h,680000,PI,Raine,23/04/2016,7.8,3058,2,1,2,462,72,1920,Moreland,-37.7448,144.9478,Northern Metropolitan,11204
3389,Coburg,27a Bruce St,3,h,670000,PI,Raine,23/04/2016,7.8,3058,,,,,,,,,,Northern Metropolitan,11204
3390,Coburg,185 Moreland Rd,1,h,482500,S,Raine,23/04/2016,7.8,3058,1,1,1,108,,,Moreland,-37.7554,144.9648,Northern Metropolitan,11204
3391,Coburg,155 Nicholson St,3,h,825000,S,Ray,23/04/2016,7.8,3058,3,1,2,577,131,1920,Moreland,-37.7459,144.9773,Northern Metropolitan,11204
3392,Coburg,11 Station St,3,h,725000,S,Brad,23/04/2016,7.8,3058,3,1,0,238,131,1900,Moreland,-37.7539,144.9612,Northern Metropolitan,11204
3393,Coburg,144 The Avenue,4,h,1250000,VB,Nelson,23/04/2016,7.8,3058,4,3,1,515,249,1900,Moreland,-37.7537,144.9766,Northern Metropolitan,11204
3396,Coburg,2 Franklin St,2,h,1008000,S,Jellis,24/09/2016,7.8,3058,2,1,3,457,89,1940,Moreland,-37.7505,144.9725,Northern Metropolitan,11204
